county,month,ndvi_mean,state,week,year
Karnes,1.0,0.23775975619809,Texas,1.0,2023
Duval,1.0,0.356551077688493,Texas,1.0,2023
Franklin,1.0,0.325746127121717,Texas,1.0,2023
Edwards,1.0,0.234760620659342,Texas,1.0,2023
Gaines,1.0,0.159027983782148,Texas,1.0,2023
Garza,1.0,0.176399151512,Texas,1.0,2023
Parmer,1.0,0.222962568634198,Texas,1.0,2023
Terry,1.0,0.190177608294127,Texas,1.0,2023
Foard,1.0,0.170463453418121,Texas,1.0,2023
Real,1.0,0.248555497582891,Texas,1.0,2023
Knox,1.0,0.225105460606466,Texas,1.0,2023
Motley,1.0,0.169903842638075,Texas,1.0,2023
Tyler,1.0,0.367088707475028,Texas,1.0,2023
Presidio,1.0,0.170975662842674,Texas,1.0,2023
Pecos,1.0,0.185798466458614,Texas,1.0,2023
Jackson,1.0,0.228980785914267,Texas,1.0,2023
Swisher,1.0,0.185441396156813,Texas,1.0,2023
Sterling,1.0,0.222133182409443,Texas,1.0,2023
Winkler,1.0,0.11698026954774,Texas,1.0,2023
Frio,1.0,0.196707298769647,Texas,1.0,2023
Lipscomb,1.0,0.146794765551173,Texas,1.0,2023
Collingsworth,1.0,0.193712566554079,Texas,1.0,2023
Colorado,1.0,0.265779548432283,Texas,1.0,2023
Shelby,1.0,0.271950047292686,Texas,1.0,2023
Comanche,1.0,0.171877629344221,Texas,1.0,2023
Burnet,1.0,0.170152305062146,Texas,1.0,2023
Cass,1.0,0.405992807883624,Texas,1.0,2023
Cochran,1.0,0.125431812193469,Texas,1.0,2023
Van Zandt,1.0,0.233786984598916,Texas,1.0,2023
Donley,1.0,0.19525264129374,Texas,1.0,2023
Grimes,1.0,0.263742920192667,Texas,1.0,2023
Brooks,1.0,0.29936363534318,Texas,1.0,2023
Dallam,1.0,0.154932476989968,Texas,1.0,2023
Mitchell,1.0,0.196819631850039,Texas,1.0,2023
Wood,1.0,0.285735116219935,Texas,1.0,2023
Childress,1.0,0.153049370653022,Texas,1.0,2023
Jeff Davis,1.0,0.189991470998523,Texas,1.0,2023
Montague,1.0,0.228216003530873,Texas,1.0,2023
Haskell,1.0,0.173972658930102,Texas,1.0,2023
Fisher,1.0,0.174151469763173,Texas,1.0,2023
Concho,1.0,0.198874774422556,Texas,1.0,2023
Coke,1.0,0.212212558857285,Texas,1.0,2023
Ward,1.0,0.135791725581437,Texas,1.0,2023
Hamilton,1.0,0.21030021312576,Texas,1.0,2023
Stephens,1.0,0.235817639581917,Texas,1.0,2023
Lavaca,1.0,0.295755007718249,Texas,1.0,2023
Bosque,1.0,0.217322831923987,Texas,1.0,2023
Roberts,1.0,0.168198090510022,Texas,1.0,2023
Rains,1.0,0.236656277183659,Texas,1.0,2023
Morris,1.0,0.353596036405789,Texas,1.0,2023
Wheeler,1.0,0.187748866487868,Texas,1.0,2023
Blanco,1.0,0.20966458362462,Texas,1.0,2023
Panola,1.0,0.307115084642015,Texas,1.0,2023
Llano,1.0,0.188715926817439,Texas,1.0,2023
Mason,1.0,0.20784865261199,Texas,1.0,2023
Hartley,1.0,0.159214762035493,Texas,1.0,2023
Polk,1.0,0.318362004175182,Texas,1.0,2023
Cottle,1.0,0.143130032977803,Texas,1.0,2023
Young,1.0,0.192605353143588,Texas,1.0,2023
Lee,1.0,0.25200753789892,Texas,1.0,2023
Hall,1.0,0.191537128706192,Texas,1.0,2023
Baylor,1.0,0.202314202371009,Texas,1.0,2023
San Augustine,1.0,0.246840737958144,Texas,1.0,2023
Madison,1.0,0.258008601719307,Texas,1.0,2023
Milam,1.0,0.197764596985014,Texas,1.0,2023
Camp,1.0,0.352923871129512,Texas,1.0,2023
Freestone,1.0,0.256356669711669,Texas,1.0,2023
Runnels,1.0,0.221331511082576,Texas,1.0,2023
Terrell,1.0,0.19671582972317,Texas,1.0,2023
Marion,1.0,0.354499470583096,Texas,1.0,2023
Jasper,1.0,0.392949415752924,Texas,1.0,2023
Hansford,1.0,0.18985987457295,Texas,1.0,2023
Throckmorton,1.0,0.192258756188431,Texas,1.0,2023
Limestone,1.0,0.199722092940467,Texas,1.0,2023
Red River,1.0,0.346019427259816,Texas,1.0,2023
Hardeman,1.0,0.150999203766743,Texas,1.0,2023
Live Oak,1.0,0.255767483518825,Texas,1.0,2023
Sherman,1.0,0.185358543696097,Texas,1.0,2023
Bailey,1.0,0.153924762708679,Texas,1.0,2023
Culberson,1.0,0.132500806978807,Texas,1.0,2023
Kimble,1.0,0.248438916609979,Texas,1.0,2023
McCulloch,1.0,0.229699812761403,Texas,1.0,2023
Crockett,1.0,0.225039231829686,Texas,1.0,2023
Hill,1.0,0.1489120594766,Texas,1.0,2023
Kent,1.0,0.17030910656899,Texas,1.0,2023
Loving,1.0,0.100655734111351,Texas,1.0,2023
Dickens,1.0,0.154957142470871,Texas,1.0,2023
La Salle,1.0,0.262237147242042,Texas,1.0,2023
Lamb,1.0,0.184244193678944,Texas,1.0,2023
King,1.0,0.168453678271553,Texas,1.0,2023
Yoakum,1.0,0.155303527799933,Texas,1.0,2023
Borden,1.0,0.167624009793824,Texas,1.0,2023
San Saba,1.0,0.218340252002736,Texas,1.0,2023
Castro,1.0,0.210618481198259,Texas,1.0,2023
Brewster,1.0,0.18773234372458,Texas,1.0,2023
Jones,1.0,0.185725255942252,Texas,1.0,2023
Callahan,1.0,0.193827730752695,Texas,1.0,2023
Taylor,1.0,0.201765467109989,Texas,1.0,2023
Andrews,1.0,0.11990739077119,Texas,1.0,2023
Caldwell,1.0,0.262886654692575,Texas,1.0,2023
Hays,1.0,0.256280186656411,Texas,1.0,2023
Kitsap,1.0,0.0232574504192384,Washington,1.0,2023
Lewis,1.0,0.120309086565495,Washington,1.0,2023
Skagit,1.0,0.0574918255450515,Washington,1.0,2023
Island,1.0,0.0258501929456183,Washington,1.0,2023
Thurston,1.0,0.0966295944969622,Washington,1.0,2023
Snohomish,1.0,0.0805326460978217,Washington,1.0,2023
Pierce,1.0,0.127694908207593,Washington,1.0,2023
King,1.0,0.0835213445503445,Washington,1.0,2023
Mason,1.0,0.0628270049853902,Washington,1.0,2023
Spokane,1.0,0.0370453628997743,Washington,1.0,2023
Stevens,1.0,0.0382505875131521,Washington,1.0,2023
Pend Oreille,1.0,0.0401579025424939,Washington,1.0,2023
Grant,1.0,-0.0149886855940348,Washington,1.0,2023
Adams,1.0,0.0564340156635433,Washington,1.0,2023
Cowlitz,1.0,0.107698519739439,Washington,1.0,2023
Skamania,1.0,0.0852077364240377,Washington,1.0,2023
Clark,1.0,0.0667824807980384,Washington,1.0,2023
Whitman,1.0,0.103890510411364,Washington,1.0,2023
